,Hub No.,Car Index,Time When Reach Hub,Time on Road
173,7,2,Day 1 - 19:4:53,Day 0 - 12:21:5
174,10,2,Day 1 - 18:44:54,Day 0 - 11:38:48
175,2,0,Day 1 - 19:2:22,Day 0 - 2:10:57
176,19,0,Day 1 - 19:6:21,Day 0 - 13:22:29
177,15,1,Day 1 - 19:31:14,Day 0 - 21:23:15
178,7,0,Day 1 - 20:30:43,Day 0 - 14:31:48
179,3,0,Day 1 - 20:18:45,Day 0 - 20:34:20
180,15,3,Day 1 - 20:14:44,Day 0 - 20:11:42
181,13,0,Day 1 - 20:17:45,Day 1 - 4:47:8
182,12,4,Day 1 - 20:48:28,Day 0 - 9:52:57
183,4,1,Day 1 - 20:33:20,Day 0 - 13:19:0
184,2,3,Day 1 - 20:45:47,Day 1 - 2:52:17
185,17,1,Day 1 - 20:55:5,Day 0 - 18:1:36
186,3,3,Day 1 - 20:51:57,Day 0 - 9:8:35
187,12,3,Day 1 - 20:54:0,Day 0 - 0:24:24
188,9,4,Day 1 - 20:54:22,Day 1 - 5:37:34
189,9,2,Day 1 - 21:3:16,Day 0 - 0:27:51
190,5,4,Day 1 - 21:55:20,Day 0 - 7:40:36
191,3,4,Day 1 - 21:18:59,Day 0 - 12:26:15
192,1,1,Day 1 - 21:42:56,Day 0 - 0:41:44
193,3,2,Day 1 - 21:37:40,Day 0 - 0:17:12
194,11,1,Day 1 - 22:9:21,Day 0 - 5:9:9
195,0,3,Day 1 - 23:10:3,Day 0 - 1:50:1
196,12,3,Day 1 - 23:26:57,Day 0 - 2:57:21
197,8,0,Day 1 - 23:26:53,Day 0 - 23:0:19
198,6,4,Day 1 - 23:43:16,Day 1 - 6:23:27
199,6,2,Day 1 - 23:58:42,Day 0 - 0:33:20
200,8,3,Day 1 - 23:52:0,Day 0 - 16:7:28
201,18,0,Day 2 - 0:22:13,Day 0 - 3:26:24
202,19,1,Day 2 - 0:33:3,Day 0 - 15:8:46
